,id_ubigeo,departamento_x,provincia_x,distrito,region,altitud,latitud,longitud,porcentaje_AB,total_pers,num_hog,pob_total
11,1320,LIMA,LIMA,SANTIAGO DE SURCO,LIMA PROVINCIA,107.0,-12.145,-77.005,78.9,325101,100585,329152
21,1294,LIMA,LIMA,LA MOLINA,LIMA PROVINCIA,262.0,-12.0781,-76.9167,78.9,139654,40245,140679
30,1310,LIMA,LIMA,SAN BORJA,LIMA PROVINCIA,170.0,-12.1072,-76.9989,78.9,111015,34940,113247
24,1302,LIMA,LIMA,MIRAFLORES,LIMA PROVINCIA,125.0,-12.1217,-77.0292,78.9,97322,37626,99337
39,1311,LIMA,LIMA,SAN ISIDRO,LIMA PROVINCIA,195.0,-12.0978,-77.0272,78.9,59872,21073,60735
32,1316,LIMA,LIMA,SAN MIGUEL,LIMA PROVINCIA,84.0,-12.0922,-77.0794,70.2,152265,46210,155384
29,1301,LIMA,LIMA,PUEBLO LIBRE,LIMA PROVINCIA,114.0,-12.0781,-77.0625,70.2,82756,26407,83323
25,1293,LIMA,LIMA,JESUS MARIA,LIMA PROVINCIA,142.0,-12.0756,-77.0433,70.2,71530,23794,75359
27,1300,LIMA,LIMA,MAGDALENA DEL MAR,LIMA PROVINCIA,90.0,-12.0917,-77.0672,70.2,59059,19239,60290
26,1296,LIMA,LIMA,LINCE,LIMA PROVINCIA,150.0,-12.0844,-77.0303,70.2,54119,18193,54711
10,1313,LIMA,LIMA,SAN JUAN DE MIRAFLORES,LIMA PROVINCIA,133.0,-12.1636,-76.9636,24.8,350551,89347,355219
16,1288,LIMA,LIMA,CHORRILLOS,LIMA PROVINCIA,68.0,-12.1769,-77.0164,24.8,308114,82969,314241
34,1321,LIMA,LIMA,SURQUILLO,LIMA PROVINCIA,125.0,-12.1186,-77.0217,24.8,88951,29262,91023
41,1284,LIMA,LIMA,BARRANCO,LIMA PROVINCIA,97.0,-12.1492,-77.0217,24.8,33818,11477,34378
42,1281,LIMA,LIMA,LIMA,LIMA PROVINCIA,162.0,-12.0453,-77.0308,23.7,261864,78665,268352
36,1308,LIMA,LIMA,RIMAC,LIMA PROVINCIA,153.0,-12.0422,-77.0269,23.7,172017,48540,174785
40,1295,LIMA,LIMA,LA VICTORIA,LIMA PROVINCIA,142.0,-12.065,-77.0308,23.7,169717,51132,173630
35,1285,LIMA,LIMA,BREÑA,LIMA PROVINCIA,153.0,-12.0589,-77.0461,23.7,83048,25494,85309
18,1315,LIMA,LIMA,SAN MARTIN DE PORRES,LIMA PROVINCIA,138.0,-12.03,-77.0575,23.6,645313,176653,654083
22,1297,LIMA,LIMA,LOS OLIVOS,LIMA PROVINCIA,67.0,-11.9914,-77.0708,23.6,322115,89749,325884
37,1292,LIMA,LIMA,INDEPENDENCIA,LIMA PROVINCIA,111.0,-11.9972,-77.0547,23.6,209079,54293,211360
